,Inspired by,Key phrase,Name,Explanation,CPL,PPL,Text
A,Angles,some actions are easier than others,Access modifiers,public / internal / protected /private,,,
A,Converging & diverging,channel people so they come together,Open office,chat rooms / office design / slack,,,
A,Converging & diverging,channel people to split up,Synchronisation,"async, sem, rendezvous, pipes, monitors",267,,
A,Conveyor belts,bring a feature to the users,IDE,,,,
A,Feature deletion,take away features,Deprecated construct,unused / undesirable,,,
A,Hiding things,hide functions that shouldn't be used,Encapsulation,hide memory alloc / registers / video,104,,
A,Material properties,use materials to favour some actions ,Syntax highlighting,"colour code keywords, constants, clickables",,,
A,Mazes,get people to follow the desired path,Generative methods,wizards / staging / …,,,
A,Pave the cowpaths,recognise desire paths & encode them,Profiling,perf testing,,,
A,Pave the cowpaths,recognise desire paths & encode them,WatchDog,learning / adapting plugin,,,
A,Positioning,rearrange things in space,IDE GUI,debug window / project explorer / …,,,
A,Roadblock,put things in users' way,Static analysis,parsing / type checking,,,
A,Segmentation & spacing,divide into parts usable one at a time,Modules,packages / modules / classes / procs,113,,
A,Simplicity,structure things to easily use features,Built-in patterns,"MVC in Angular, Visitor in Rascal",,,
E,Are you sure?,extra confirmation step,,__ in Python,,,
E,Choice editing,phase out undesired choices,Code completion,,,,
E,Conditional warnings,warning based on the error,Red squiggles,also compile time errors?,,,
E,Defaults,make preferred option default,Defaults,,,,
E,Did you mean?,"detect error, suggest a better option",,tolerant completion?,,,
E,Interlock,disable feature until another one done,,,,,
E,Matched affordances,fit the right way around,Type check,monadic bind,,,
E,Opt-outs,yes to desired option by default,,disabling convention notifications?,,,
E,Portions,change the portion size,Suggestion box?,,,,
E,Task lock-in/out,prevent inadventent use of feature,Save on exit,,,,
I,Feedback through form,form suggest usage,,,,,
I,Kairos,time the suggestion to change behr,,,,,
I,Partial completion,build confidence by finishing phase,Phased processing,"compilation phases, build phases",,,
I,Peer feedback,gen feedback from similar users,,,,,
I,Progress bar,show progress towards a goal,,,,,
I,Real-time feedback,let users know their actions affect it,,(memory consumption?),,,
I,Simulation & feedforward,preview of results of user's actions,Preview,in refactoring,,,
I,Summary feedback,report on what users were doing,,,,,
I,Tailoring,adapt proposed features to user's needs,,,,,
I,Tunnelling & wizards,take users through a decision process,,(duplicate?),,,
L,Challenges & targets,present a challenge,,esoteric languages - Befunge etc,,,
L,Collections,get users to collect things through usage,,(gamification?),,,
L,Leave gaps to fill,leave deliberate gaps to implement,,ANTIPATTERN!,,,
L,Levels,split the system into achievable levels,,,,,
L,Make it a meme,make the design viral,,LOLCODE etc,,,
L,Playfulness,elements that play a game with users,,,,,
L,Rewards,reveal bonus functionality to good users,,,,,
L,Role-playing,makes users feel like they're playing roles,,,,,
L,Scores,assign a user a comparable score,,,,,
L,Storytelling,tell engaging story through design,,,,,
L,Unpredictable reinforcement,give rewards on random schedule,,,,,
P,(A)symmetry,"symmetric = related, asymmetric = unrel",,???,,,
P,Colour associations,colour suggests grouping,Syntax highlighting,,,,
P,Contrast,obvious contrast of parts and background,Comments,,12,,
P,Fake affordances,feature that does not really work,Syntactic sugar,,,,
P,Implied sequences,make the order obvious,,,,,
P,Metaphors,metaphor / analogy,,"bug, cloud, jump",,,
P,Mimicry & mirroring,mirror or mimic a user's behaviour,,,,,
P,Mood,user sensory stimuli to set a mood,,,,,
P,Nakedness,remove the usual cues to make users think,,,,,
P,Perceived affordances,the form of the system suggests its use,,,,,
P,Possibility trees,(metro map),Charts / diagrams?,,,,
P,Prominence,exaggerate or hide a feature,,,,,
P,Proximity & grouping,put related elements closer,Cohesion & coupling,,,,
P,Seductive atmospherics,use ambient sensory effects to induce beh,,,,,
P,Similarity,hide unrelated elements by mimicry,,,,,
P,Transparency,reveal what's under the cover,,,,,
P,Watermarking,make the user own a thing,Code authorship,(write names on stuff),,,
C,Assuaging guilt,reduce feelings of guilt,,linters?,,,
C,Commitment & consistency,get users commit to an idea or goal,,metrics in plugins,,,
C,Decoys,deliberately bad choices next to real ones,,,,,
C,Desire for order,use people's desire for tidiness,,"term ""smells""?",,,
C,Do as you’re told,use an authority figure to enforce users,,EULA?,,,
